341	Qualcomm Snapdragon 618		0	1800	8/8	0
342	Intel Pentium 997	512KB + 2M	17	1600	2/2	0
343	Intel Atom Z3745	2MB	0	1330	4/4	0
344	Intel Atom Z3745D	2MB	0	1330	4/4	0
345	Intel Atom Z3740	2MB	0	1330	4/4	1838
346	Intel Atom Z3740D	2MB	0	1330	4/4	1827
347	Intel Atom Z3735D	2MB	0	1330	4/4	0
348	Intel Atom Z3735E	2MB	0	1330	4/4	0
349	Intel Atom Z3735F	2MB	0	1330	4/4	1164
350	Intel Atom Z3735G	2MB	0	1330	4/4	1526
351	Intel Celeron 1047UE	512KB + 2M	17	1400	2/2	0
352	AMD E2-3800	2MB	15	1300	4/4	0
353	AMD E2-3000M	1MB	35	1800	2/2	0
354	Intel Pentium 987	512KB + 2M	17	1500	2/2	1487
355	Intel Celeron 887	512KB + 2M	17	1500	2/2	1414
356	Intel Celeron B800	512KB + 2M	35	1500	2/2	1534
357	Intel Core i3-2357M	512KB + 3M	17	1300	2/4	1575
358	AMD A4-3300M	2MB	35	1900	2/2	1556
359	AMD A4-3305M	1MB	35	1900	2/2	1613
360	AMD A6 Pro-7050B	1MB	17	2200	2/2	1468
361	AMD A6-7000	1MB	17	2200	2/2	0
362	AMD A6-5345M	1MB	17	2200	2/2	0
363	Intel Celeron J1800	1MB	10	2410	2/2	0
364	Intel Celeron N2840	1MB	8	2160	2/2	1510
365	Intel Celeron J1750	1MB	10	2410	2/2	0
366	Intel Celeron N2910	2MB	8	1600	4/4	1612
367	AMD A6-1450	2MB	8	1000	4/4	1439
368	AMD A4 Micro-6400T	2MB	5	1000	4/4	1664
369	Qualcomm Snapdragon 801 MSM8974AC	2MB	0	2450	4/4	0
370	AMD A6-4455M	2MB	17	2100	2	1358
371	AMD A4-5145M	1MB	17	2000	2/2	0
372	AMD A4-4355M	2MB	17	1900	2	1239
373	Samsung Exynos 5430 Octa	512KB	0	1800	8/8	0
374	Mediatek MT6595	2MB	0	2200	8/8	0
375	Intel Celeron N2830	1MB	8	2160	2/2	0
376	Qualcomm Snapdragon 801 APQ8074AB	2MB	0	2360	4/4	0
377	Qualcomm Snapdragon 801 MSM8974AB	2MB	0	2360	4/4	0
378	Intel Celeron N2820	1MB	8	2170	2/2	0
379	Intel Celeron N3050	2MB	6	1600	2/2	0
380	Intel Celeron N2815	1MB	8	1860	2/2	0
381	Intel Celeron N3000	2MB	4	1040	2/2	0
382	Intel Celeron N2810	1MB	8	2000	2/2	1043
383	Nvidia Tegra 4		0	1800	4/4	0
384	Intel Atom Z3680	1MB	0	1330	2/2	0
385	Intel Atom Z3680D	1MB	0	1330	2/2	0
386	Mediatek MT6595M	2MB	0	2000	8/8	0
387	VIA Nano QuadCore L4700	4MB	28	1200	4/4	1615
388	Intel Pentium 3561Y	512KB + 2M	12	1200	2/2	0
389	Intel Pentium 3560Y	512KB + 2M	12	1200	2/2	0
